,Title_ID,Title,Year,Runtime_Minutes,Genres,Lifetime_Gross
1907,tt2910520,Fen shou he yue,2013,101.0,"Drama,Romance",14350.0
1908,tt2967006,The Trip to Italy,2014,108.0,"Comedy,Drama",2880537.0
1909,tt2980648,The Hundred-Foot Journey,2014,122.0,"Comedy,Drama",54240821.0
1910,tt3062096,Inferno,2016,121.0,"Action,Adventure,Crime",34343574.0
1911,tt3093546,Listen Up Philip,2014,108.0,"Comedy,Drama",200126.0
1912,tt3654964,Art and Craft,2014,89.0,Documentary,235037.0
1913,tt3697566,U-neun nam-ja,2014,116.0,"Action,Thriller",63063.0
1914,tt3722070,The Lady in the Van,2015,104.0,"Biography,Comedy,Drama",10021175.0
1915,tt3797868,The Choice,2016,111.0,"Drama,Romance",18730891.0
1916,tt3836958,Shamitabh,2015,155.0,Drama,324597.0
1917,tt4326444,Julieta,2016,99.0,"Drama,Mystery,Romance",1490948.0
1918,tt4344782,Sembene!,2015,89.0,"Biography,Documentary,History",28059.0
1919,tt4381236,The Greasy Strangler,2016,93.0,"Comedy,Horror",45878.0
1920,tt4513316,Novitiate,2017,123.0,Drama,580346.0
1921,tt4514646,"Tim Timmerman, Hope of America",2017,94.0,"Comedy,Romance",97727.0
1922,tt2520398,Assaulted: Civil Rights Under Fire,2013,79.0,Documentary,6905.0
1923,tt2545428,Meru,2015,90.0,"Action,Adventure,Documentary",2334228.0
1924,tt2570224,Two-Bit Waltz,2014,81.0,"Comedy,Drama,Family",2540.0
1925,tt3181822,The Boy Next Door,2015,91.0,"Horror,Thriller",35423380.0
1926,tt3208026,Black '47,2018,100.0,"Action,Drama",57520.0
1927,tt3231054,Risen,2016,107.0,"Action,Adventure,Drama",36880033.0
1928,tt3237942,Dark Forest,2015,75.0,"Horror,Thriller",1739.0
1929,tt3259324,The Summit,2013,76.0,"Action,Drama,Sci-Fi",243550.0
1930,tt3261114,The Last Race,2018,75.0,"Documentary,Sport",11947.0
1931,tt3268030,Advanced Style,2014,72.0,"Biography,Comedy,Documentary",87879.0
1932,tt3442990,Lila & Eve,2015,94.0,"Crime,Drama,Mystery",38263.0
1933,tt3483712,Raja Natwarlal,2014,141.0,"Crime,Thriller",131105.0
1934,tt3504604,Steve McQueen: The Man & Le Mans,2015,102.0,Documentary,6843.0
1935,tt3569230,Legend,2015,132.0,"Biography,Crime,Drama",1872994.0
1936,tt3719896,My All-American,2015,118.0,"Biography,Drama,Sport",2246000.0
1937,tt3735398,Carter High,2015,110.0,"Crime,Drama,Sport",240214.0
1938,tt3741834,Lion,2016,118.0,"Biography,Drama",51738905.0
1939,tt3778644,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy",213767512.0
1940,tt3819668,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',2015,93.0,"Action,Adventure,Animation",8008363.0
1941,tt4294052,Shingeki no kyojin endo obu za wârudo,2015,87.0,"Action,Drama,Fantasy",305934.0
1942,tt4504040,A Ballerina's Tale,2015,85.0,Documentary,131995.0
1943,tt4595882,Can You Ever Forgive Me?,2018,106.0,"Biography,Comedy,Crime",8803865.0
1944,tt4786282,Lights Out,2016,81.0,"Drama,Horror,Mystery",67268835.0
1945,tt4853154,Bill Nye: Science Guy,2017,101.0,Documentary,74909.0
1946,tt4881806,Jurassic World: Fallen Kingdom,2018,128.0,"Action,Adventure,Sci-Fi",417719760.0
1947,tt4917224,9/11,2017,90.0,"Action,Drama",170000.0
1948,tt5439796,Logan Lucky,2017,118.0,"Comedy,Crime,Drama",27780977.0
